amenity	cuisine	takeaway	name
fast_food	bagel		Cul de poule
fast_food	bagel		Delices Park
fast_food	bagel;donut;ice_cream		Babel Corner
fast_food	bagel		Dr. Auguste
fast_food	bagel		Dr. Auguste
fast_food	bagel		Morry's
fast_food	bagel	only	Bagel Corner
fast_food	bagel;pancake		Dream Crêpe
fast_food	bagel;salad		Bagel Corner Lyon 2
fast_food	bagel;sandwich		Hell's kitchen
fast_food	bagels		Bricks and Bagels
fast_food	bagel		Spillicks
fast_food	bagels;salades;desserts	yes	Air Bagels
fast_food	bagel		Sunny's Bagels
fast_food	bagel;sushi		Bagel and Sushi
fast_food	bagels	yes	Bagels & Cakes
fast_food	bagel		Urban Bagel
fast_food	bagel	yes	Bagel Corner
fast_food	bagel	yes	Bagel History
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein
fast_food	bagel	yes	Bagelstein Part-Dieu
fast_food	bagel	yes	Bagel Store
fast_food	bagel	yes	B Chef
fast_food	bagel	yes	B Chef
fast_food	bagel	yes	BChef
fast_food	bagel	yes	Best Bagel Lyon Lumière
fast_food	bagel	yes	Lekkers
fast_food	bagel	yes	Popote & Papote
fast_food	bagel	yes	Sweet Flamingo
fast_food	bagel		Yommy
fast_food	bagel		Zag Corner
fast_food	bakery		La Pause Gourmande
fast_food	barbecue;burger;chicken;diner;sandwich		Road 33
fast_food	barbecue;burger	yes	Brut Butcher
fast_food	barbecue		Coqrizko
fast_food	barbecue		Cowboy Cookout Barbecue
fast_food	barbecue		Grill La Dynamique
fast_food	barbecue;italian	yes	Griglia
fast_food	barbecue		Karibou Snack
fast_food	barbecue		Le Marquis de la Guintre
fast_food	barbecue		Resto des 5 menus
fast_food	Barquette		Sucré Salé
fast_food	basque		Grill Erretegui
fast_food	bavarian		Tacos Royal
fast_food	belgian;burger;sandwich	yes	La fringale du Cht'i
fast_food	belgian		Le Cornet Liegois
fast_food	bento	yes	Naoppé
fast_food	Bio		Organic Food
fast_food	Bio	yes	Green sur Mesure
fast_food	bokit		Les Délices Saintannais
fast_food	brasilian		Oba Brasil
fast_food	brazilian		Carajas
fast_food	bread;sandwiches		Firmin
fast_food	breakfast;cake;coffee_shop;ice_cream;pasta;sandwich;tea		KA coffee shop
fast_food	breakfast;sandwich;tea;coffee_shop		Aux 2 vaches
fast_food	breakfast;sandwich	yes	Tout Chaud
fast_food	british		Croque's & Pies
fast_food	brunch		Brunch coffee
fast_food	bruschettas	only	Brusch & Food
fast_food	burger		202th Street Food
fast_food	burger		20e Avenue
fast_food	burger		231 East st
fast_food	burger		231 East St
fast_food	burger		231 East St.
fast_food	burger		231 East St.
fast_food	burger		231 East street
fast_food	burger		231 East Street
fast_food	burger		231 East Street
fast_food	burger		231 East Street
fast_food	burger		2 pas dans le sable
fast_food	burger		411 Avenue Burger
fast_food	burger		66 Burger Club
